,기사제목,기사링크,기사요약,분류
19,삼정KPMG “NIS2 규정 준수 위해 거버넌스 책임 확대해야”,https://n.news.naver.com/mnews/article/016/0002176779?sid=101,유럽연합(EU)의 사이버 보안 지침인 NIS2(Network and Information Systems 2)의 세부 요구사항이 공개되는 내년 10월까지  …,경제
20,코로나 끝난 줄 알았더니…일일 확진자 5만명 '육박',https://n.news.naver.com/mnews/article/015/0004874049?sid=102,최근 코로나19 하루 확진자가 5만명에 육박하며 확산세가 심상치 않은 모습이다. 전문가들 사이에선 지난 겨울 이후 또다시 재유행의 조짐이 보인다는 우려가 …,사회
21,전세보증금반환보증 가입 청년에게 보증료 환급,https://n.news.naver.com/mnews/article/056/0011535578?sid=102,전국적으로 전세보증금반환보증 보험에 가입한 청년을 대상으로 보증료 지원이 이뤄짐에 따라 전북 14개 시군도 주민센터 등을 통해 신청을 받습니다. 지원 대 …,사회
22,"경기도, 지방세 부정감면·미신고 ,600건 적발",https://n.news.naver.com/mnews/article/016/0002176725?sid=102,경기도는 군포시 등 5개 시군과 지방세 합동 조사를 실시한 결과 감면 부동산을 다른 용도로 사용하거나 부동산을 취득하고도 취득세를 신고하지 않는 등 6648건의 세금 누락 사례를 적발하고 160억 원을 추징 …,사회
23,인터넷쇼핑몰 게시판에 '용팔이' 표현하면 모욕?…항소심서 무죄,https://n.news.naver.com/mnews/article/001/0014102108?sid=102,"1심에선 벌금 50만원…2심 재판부 ""상품 게시판서 표현의 자유 넓게 보장돼야"" '용팔이'(전자기기 판매업자를 비하하는 용어)라는 표현을 인터넷 쇼핑몰  …",사회
24,"인권위 ""교권침해는 학생인권조례 탓 주장 경계해야"" 성명 발표",https://n.news.naver.com/mnews/article/057/0001759481?sid=102,"서울 서이초 교사 사망 이후 교권 침해 문제가 수면 위로 떠오르면서 교육당국이 학생인권조례를 손보겠다는 입장을 드러낸 가운데, 국가인권인원회(인권위)가  …",사회
25,"""영탁막걸리 이름 쓰지마""…가수 영탁 1심 재판서 예천양조에 이겼다",https://n.news.naver.com/mnews/article/057/0001759544?sid=102,트로트 가수 영탁 씨가 막걸리에 자신의 이름을 쓰지 말라고 낸 소송에서 이겼습니다. 연예인의 성명이나 예명을 특정 사업에 사용하는 경우 혼동을 일으킬 수 …,사회
26,장마 뒤 폭염에 온열환자 속출… 하루 새 7명 사망,https://n.news.naver.com/mnews/article/469/0000752543?sid=102,지난 26일 장마 종료를 기점으로 낮 최고기온 35~37도의 폭염이 이어지면서 온열질환자가 급증하고 있다. 그간 기록적 호우가 더위를 식히면서 온열질환이 …,사회
27,"‘성매수’ 현직 판사, 10건의 성매매 판결에선 ""사회적 해악..엄벌해야"" 질책",https://n.news.naver.com/mnews/article/014/0005049754?sid=102,평일 대낮에 성매매를 하다 적발된 현직 판사가 과거 성매매 사건을 다수 다뤘던 것으로 파악됐다. 이 판사가 배석한 재판부는 성매매 알선 행위에 대해 “여 …,사회
28,"‘장난? 량차이?’…지하철 중국어 안내방송, 우리말 변경",https://n.news.naver.com/mnews/article/005/0001627355?sid=102,지하철 2호선 강남역과 3호선 양재역에서 나오는 중국어 도착 안내방송이 8월부터 우리말 고유명사로 바뀐다. 31일 서울교통공사는 강남역과 양재역 중국어  …,사회
